geoid,geoName,year,sector,establishments,employment,wages,gdp
33015,Rockingham County,2021,Ocean Economy,574.92,8107.956,300812042.87,653528246.25
33017,Strafford County,2021,Marine Construction,0,0,0,0
33017,Strafford County,2021,Living Resources,SUP,SUP,SUP,SUP
33017,Strafford County,2021,Offshore Mineral Resources,4,0,0,0
33017,Strafford County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
33017,Strafford County,2021,Tourism and Recreation,0,0,0,0
33017,Strafford County,2021,Marine Transportation,9,210,13916084,17615298.694
33017,Strafford County,2021,Ocean Economy,19,210,13916084,17615298.694
34001,Atlantic County,2021,Marine Construction,SUP,SUP,SUP,SUP
34001,Atlantic County,2021,Living Resources,12,35,1448291,4003212.146
34001,Atlantic County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
34001,Atlantic County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
34001,Atlantic County,2021,Tourism and Recreation,656,9543.333,290654035,633905409.05
34001,Atlantic County,2021,Marine Transportation,SUP,SUP,SUP,SUP
34001,Atlantic County,2021,Ocean Economy,690,9922.083,313834559,680699131.846
34003,Bergen County,2021,Marine Construction,9,94,13625829,23860316.233
34003,Bergen County,2021,Living Resources,38,69,3463387,8148171.539
34003,Bergen County,2021,Offshore Mineral Resources,8,93,7701208,13054304.56
34003,Bergen County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
34003,Bergen County,2021,Tourism and Recreation,1213,11424.333,342848770,711910056.78
34003,Bergen County,2021,Marine Transportation,89,4547,170259151,241573033.7
34003,Bergen County,2021,Ocean Economy,1372,16344.083,554526888,1047733816.112
34005,Burlington County,2021,Marine Transportation,45,8599,387702181,503084091.48
34005,Burlington County,2021,Ocean Economy,66,14879.333,1062693655,1944958572.814
34005,Burlington County,2021,Marine Construction,SUP,SUP,SUP,SUP
34005,Burlington County,2021,Living Resources,4,19,343822,808896.215
34005,Burlington County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
34005,Burlington County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
34005,Burlington County,2021,Tourism and Recreation,0,0,0,0
34007,Camden County,2021,Marine Construction,4,88,10297595,18032214.637
34007,Camden County,2021,Living Resources,5,7,217499,511701.165
34007,Camden County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
34007,Camden County,2021,Ship and Boat Building,0,0,0,0
34007,Camden County,2021,Tourism and Recreation,139,1198.25,25534173,53004022.513
34007,Camden County,2021,Marine Transportation,37,1282,83739715,108661030.31
34007,Camden County,2021,Ocean Economy,193,3399.833,208724271,360981714.148
34009,Cape May County,2021,Marine Construction,17,105,5933718,10390588.926
34009,Cape May County,2021,Living Resources,29,297,15299167,39873264.518
34009,Cape May County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
34009,Cape May County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
34009,Cape May County,2021,Tourism and Recreation,1016,10499.417,330389075,742583850.112
34009,Cape May County,2021,Marine Transportation,SUP,SUP,SUP,SUP
34009,Cape May County,2021,Ocean Economy,1078,11226.5,373284061,839988096.344
34011,Cumberland County,2021,Marine Construction,SUP,SUP,SUP,SUP
34011,Cumberland County,2021,Living Resources,13,205,9486994,22365279.115
34011,Cumberland County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
34011,Cumberland County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
34011,Cumberland County,2021,Tourism and Recreation,101,1118.167,25087941,52490450.292
34011,Cumberland County,2021,Marine Transportation,18,985,47107439,61126824.436
34011,Cumberland County,2021,Ocean Economy,145,2539.167,97088770,185500094.572
34013,Essex County,2021,Marine Construction,9,248,26551582,46494722.853
34013,Essex County,2021,Living Resources,27,209,13479963,37168427.051
34013,Essex County,2021,Offshore Mineral Resources,3,11,821596,1392685.98
34013,Essex County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
34013,Essex County,2021,Tourism and Recreation,479,3780.667,115121908,249639913.023
34013,Essex County,2021,Marine Transportation,61,2223,245614176,350476125.18
34013,Essex County,2021,Ocean Economy,586,6716.583,434218678,747490543.383
34015,Gloucester County,2021,Marine Construction,11,280,25949273,45440013.946
34015,Gloucester County,2021,Living Resources,SUP,SUP,SUP,SUP
34015,Gloucester County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
34015,Gloucester County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
34015,Gloucester County,2021,Tourism and Recreation,82,1376.083,30102449,62590765.276
34015,Gloucester County,2021,Marine Transportation,32,295,20026571,25986568.482
34015,Gloucester County,2021,Ocean Economy,135,10086.833,382278108,535292254.361
34017,Hudson County,2021,Marine Construction,5,79,8429608,14761165.181
34017,Hudson County,2021,Living Resources,15,122,6868831,19895389.868
34017,Hudson County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
34017,Hudson County,2021,Ship and Boat Building,3,56,2813561,5494826.423
34017,Hudson County,2021,Tourism and Recreation,1501,15153.583,455517928,931989928.934
34017,Hudson County,2021,Marine Transportation,98,4348,317320431,432539781.63
34017,Hudson County,2021,Ocean Economy,1627,19930.417,808006121,1468450781.903
34023,Middlesex County,2021,Marine Construction,8,100,9040055,15830124.616
34023,Middlesex County,2021,Living Resources,9,6,308518,725837.912
34023,Middlesex County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
34023,Middlesex County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
34023,Middlesex County,2021,Tourism and Recreation,176,1290.417,31950503,67542527.336
34023,Middlesex County,2021,Marine Transportation,224,25483,1242800374,1612663347.5
34023,Middlesex County,2021,Ocean Economy,447,27224.5,1320498561,1823172880.752
34025,Monmouth County,2021,Marine Construction,15,171,17032134,29825128.684
34025,Monmouth County,2021,Living Resources,18,98,5011087,14289451.511
34025,Monmouth County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
34025,Monmouth County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
34025,Monmouth County,2021,Tourism and Recreation,1377,17691.5,466633084,961343228.069
34025,Monmouth County,2021,Marine Transportation,24,302,19524533,26048818.208
34025,Monmouth County,2021,Ocean Economy,1452,18340.333,514147042,1042292879.874
34029,Ocean County,2021,Marine Construction,25,223,14281012,25007613.294
34029,Ocean County,2021,Living Resources,46,182,8288557,21621687.73
34029,Ocean County,2021,Offshore Mineral Resources,9,74,7779960,29790585.229
34029,Ocean County,2021,Ship and Boat Building,4,6,436750,852963.714
34029,Ocean County,2021,Tourism and Recreation,1168,14120.083,377498470,795569019.535
34029,Ocean County,2021,Marine Transportation,SUP,SUP,SUP,SUP
34029,Ocean County,2021,Ocean Economy,1285,14822.167,421272495,896088995.592
34033,Salem County,2021,Marine Construction,0,0,0,0
34033,Salem County,2021,Living Resources,SUP,SUP,SUP,SUP
34033,Salem County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
34033,Salem County,2021,Ship and Boat Building,0,0,0,0
34033,Salem County,2021,Tourism and Recreation,60,613.583,12552337,26266096.519
34033,Salem County,2021,Marine Transportation,8,1302,73420975,95271386.94
34033,Salem County,2021,Ocean Economy,75,1931.5,86800502,123469289.143
34035,Somerset County,2021,Marine Transportation,SUP,SUP,SUP,SUP
34035,Somerset County,2021,Ocean Economy,33,3493.833,153043590,211663713.118
34035,Somerset County,2021,Marine Construction,5,255,19460692,34077799.246
34035,Somerset County,2021,Living Resources,SUP,SUP,SUP,SUP
34035,Somerset County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
34035,Somerset County,2021,Ship and Boat Building,0,0,0,0
34035,Somerset County,2021,Tourism and Recreation,0,0,0,0
34039,Union County,2021,Marine Construction,6,454,60588207,106096574.31
34039,Union County,2021,Living Resources,8,13,333412,784405.026
34039,Union County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
34039,Union County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
34039,Union County,2021,Tourism and Recreation,335,3056.833,84155376,183447051.009
34039,Union County,2021,Marine Transportation,77,3342,233549584,312695771.07
34039,Union County,2021,Ocean Economy,434,9748.417,932568704,1441975847.744
36001,Albany County,2021,Marine Construction,SUP,SUP,SUP,SUP
36001,Albany County,2021,Living Resources,SUP,SUP,SUP,SUP
36001,Albany County,2021,Offshore Mineral Resources,5,453,38875524,105252209.75
36001,Albany County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
36001,Albany County,2021,Tourism and Recreation,0,0,0,0
36001,Albany County,2021,Marine Transportation,26,555,27464680,35023620.572
36001,Albany County,2021,Ocean Economy,40,1008,66340204,140275830.32
36005,Bronx County,2021,Marine Construction,SUP,SUP,SUP,SUP
36005,Bronx County,2021,Living Resources,81,651,43843645,116370314.38
36005,Bronx County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
36005,Bronx County,2021,Ship and Boat Building,0,0,0,0
36005,Bronx County,2021,Tourism and Recreation,643.08,4621.339,125056800.16,261491864.37
36005,Bronx County,2021,Marine Transportation,22,749,32694598,41692937.806
36005,Bronx County,2021,Ocean Economy,753.08,6021.339,201595043.16,419555116.56
36011,Cayuga County,2021,Marine Construction,SUP,SUP,SUP,SUP
36011,Cayuga County,2021,Living Resources,SUP,SUP,SUP,SUP
36011,Cayuga County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
36011,Cayuga County,2021,Ship and Boat Building,0,0,0,0
36011,Cayuga County,2021,Tourism and Recreation,8,24,961279,1657086.537
36011,Cayuga County,2021,Marine Transportation,5,40,1815526,2315202.426
36011,Cayuga County,2021,Ocean Economy,19,64,2776805,3972288.963
36013,Chautauqua County,2021,Marine Construction,SUP,SUP,SUP,SUP
36013,Chautauqua County,2021,Living Resources,SUP,SUP,SUP,SUP
36013,Chautauqua County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
36013,Chautauqua County,2021,Ship and Boat Building,0,0,0,0
36013,Chautauqua County,2021,Tourism and Recreation,51.102,683.1,13910194.881,29131207.05
36013,Chautauqua County,2021,Marine Transportation,SUP,SUP,SUP,SUP
36013,Chautauqua County,2021,Ocean Economy,70.102,683.1,13910194.881,29131207.05
36027,Dutchess County,2021,Marine Construction,SUP,SUP,SUP,SUP
36027,Dutchess County,2021,Living Resources,SUP,SUP,SUP,SUP
36027,Dutchess County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
36027,Dutchess County,2021,Ship and Boat Building,0,0,0,0
36027,Dutchess County,2021,Tourism and Recreation,0,0,0,0
36027,Dutchess County,2021,Marine Transportation,SUP,SUP,SUP,SUP
36027,Dutchess County,2021,Ocean Economy,SUP,SUP,SUP,SUP
36029,Erie County,2021,Marine Construction,14,77,5909923,10569511.208
36029,Erie County,2021,Living Resources,12,17,358472,815853.412
36029,Erie County,2021,Offshore Mineral Resources,12,28,1885402,2974407.41
36029,Erie County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
36029,Erie County,2021,Tourism and Recreation,569.944,9424.194,222086566.95,486718432.52
36029,Erie County,2021,Marine Transportation,62,4161,120667265,153877798.86
36029,Erie County,2021,Ocean Economy,670.944,13707.194,350907628.95,654956003.41
36045,Jefferson County,2021,Marine Construction,SUP,SUP,SUP,SUP
36045,Jefferson County,2021,Living Resources,0,0,0,0
36045,Jefferson County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
36045,Jefferson County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
36045,Jefferson County,2021,Tourism and Recreation,68.289,565.929,15788015.98,36788053.368
36045,Jefferson County,2021,Marine Transportation,SUP,SUP,SUP,SUP
36045,Jefferson County,2021,Ocean Economy,85.289,565.929,15788015.98,36788053.368
36047,Kings County,2021,Marine Construction,14,158,15887028,28412911.727
36047,Kings County,2021,Living Resources,155,1281,66738649,186061167.65
36047,Kings County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
36047,Kings County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
36047,Kings County,2021,Tourism and Recreation,3622.134,26000.368,815963981.18,1686924307
36047,Kings County,2021,Marine Transportation,56,2329,59730301,76277075.02
36047,Kings County,2021,Ocean Economy,3853.134,29768.368,958319959.18,1977675461.4
36055,Monroe County,2021,Marine Construction,SUP,SUP,SUP,SUP
36055,Monroe County,2021,Living Resources,5,6,75817,172553.388
36055,Monroe County,2021,Offshore Mineral Resources,8,21,907129,2455975.43
36055,Monroe County,2021,Ship and Boat Building,0,0,0,0
36055,Monroe County,2021,Tourism and Recreation,268.098,4199.586,97381832.093,201421295.23
36055,Monroe County,2021,Marine Transportation,34,2664,146287939,186549898.62
36055,Monroe County,2021,Ocean Economy,324.098,6890.586,244652717.09,390599722.67
36059,Nassau County,2021,Marine Construction,25,477,56166956,100450931.59
36059,Nassau County,2021,Living Resources,71,499,25045667,66189962.802
36059,Nassau County,2021,Offshore Mineral Resources,6,29,2454464,4160421.882
36059,Nassau County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
36059,Nassau County,2021,Tourism and Recreation,1493.982,17171.028,512351763.6,1041822728.4
36059,Nassau County,2021,Marine Transportation,76,2823,160426329,249702792.82
36059,Nassau County,2021,Ocean Economy,1672.982,20999.028,756445179.6,1462326837.5
36061,New York County,2021,Marine Construction,20,586,72406448,129494202.16
36061,New York County,2021,Living Resources,74,486,22122240,55989094.313
36061,New York County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
36061,New York County,2021,Ship and Boat Building,0,0,0,0
36061,New York County,2021,Tourism and Recreation,8834,124315,6036836979,14991289187
36061,New York County,2021,Marine Transportation,53,94,13092838,23874702.414
36061,New York County,2021,Ocean Economy,8990,125481,6144458505,15200647186
36063,Niagara County,2021,Marine Construction,SUP,SUP,SUP,SUP
36063,Niagara County,2021,Living Resources,0,0,0,0
36063,Niagara County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
36063,Niagara County,2021,Ship and Boat Building,0,0,0,0
36063,Niagara County,2021,Tourism and Recreation,327.793,3785.848,85372924.16,178139659.89
36063,Niagara County,2021,Marine Transportation,18,92,4652509,5932991.388
36063,Niagara County,2021,Ocean Economy,349.793,3877.848,90025433.16,184072651.28
36071,Orange County,2021,Marine Construction,6,123,8966691,16036341.087
36071,Orange County,2021,Living Resources,12,29,1005876,2289292.794
36071,Orange County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
36071,Orange County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
36071,Orange County,2021,Tourism and Recreation,0,0,0,0
36071,Orange County,2021,Marine Transportation,24,1325,68880194,87837680.234
36071,Orange County,2021,Ocean Economy,48,1477,78852761,106163314.11
36073,Orleans County,2021,Marine Construction,0,0,0,0
36073,Orleans County,2021,Living Resources,0,0,0,0
36073,Orleans County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
36073,Orleans County,2021,Ship and Boat Building,0,0,0,0
36073,Orleans County,2021,Tourism and Recreation,0,0,0,0
36073,Orleans County,2021,Marine Transportation,6,30,2168568,2765410.076
36073,Orleans County,2021,Ocean Economy,8,30,2168568,2765410.076
36075,Oswego County,2021,Marine Transportation,5,24,1557186,1985761.044
36075,Oswego County,2021,Ocean Economy,158.823,1498.562,32435280.74,69518645.841
36075,Oswego County,2021,Marine Construction,SUP,SUP,SUP,SUP
36075,Oswego County,2021,Living Resources,SUP,SUP,SUP,SUP
